"[0, 1, 2, 3, 4, 5, 6]",16444,86
"[0, 1, 2, 3, 4, 5, 6]",15945,86
"[0, 1, 2, 3, 4, 5, 6]",16334,90
"[0, 1, 2, 3, 4, 5, 6]",16063,92
"[0, 1, 2, 3, 4, 5, 6]",16413,98
"[0, 1, 2, 3, 4, 5, 6]",16656,99
"[0, 1, 2, 3, 4, 5, 6]",16123,83
"[0, 1, 2, 3, 4, 5, 6]",16240,94
"[0, 1, 2, 3, 4, 5, 6]",15861,90
"[0, 1, 2, 3, 4, 5, 6]",16144,88
"[0, 1, 2, 3, 4, 5, 6]",15843,95
"[0, 1, 2, 3, 4, 5, 6]",15463,87
"[0, 1, 2, 3, 4, 5, 6]",17649,120
"[0, 1, 2, 3, 4, 5, 6]",15765,91
"[0, 1, 2, 3, 4, 5, 6]",17500,96
"[0, 1, 2, 3, 4, 5, 6]",16638,110
"[0, 1, 2, 3, 4, 5, 6]",16485,85
"[0, 1, 2, 3, 4, 5, 6]",16615,98
"[0, 1, 2, 3, 4, 5, 6]",15620,91
"[0, 1, 2, 3, 4, 5, 6]",15498,84
"[0, 1, 2, 3, 4, 5, 6]",15472,81
"[0, 1, 2, 3, 4, 5, 6]",15694,108
"[0, 1, 2, 3, 4, 5, 6]",16150,91
"[0, 1, 2, 3, 4, 5, 6]",15288,93
"[0, 1, 2, 3, 4, 5, 6]",15462,92
"[0, 1, 2, 3, 4, 6, 5]",16527,92
"[0, 1, 2, 3, 4, 6, 5]",16087,105
"[0, 1, 2, 3, 4, 6, 5]",16173,92
"[0, 1, 2, 3, 4, 6, 5]",17138,110
"[0, 1, 2, 3, 4, 6, 5]",16729,103
"[0, 1, 2, 3, 4, 6, 5]",16609,87
"[0, 1, 2, 3, 4, 6, 5]",16202,80
"[0, 1, 2, 3, 4, 6, 5]",17108,104
"[0, 1, 2, 3, 4, 6, 5]",15897,99
"[0, 1, 2, 3, 4, 6, 5]",16156,110
"[0, 1, 2, 3, 4, 6, 5]",15900,94
"[0, 1, 2, 3, 4, 6, 5]",15599,87
"[0, 1, 2, 3, 4, 6, 5]",17557,121
"[0, 1, 2, 3, 4, 6, 5]",15985,89
"[0, 1, 2, 3, 4, 6, 5]",17084,90
"[0, 1, 2, 3, 4, 6, 5]",16487,107
"[0, 1, 2, 3, 4, 6, 5]",16208,101
"[0, 1, 2, 3, 4, 6, 5]",16800,88
"[0, 1, 2, 3, 4, 6, 5]",15488,90
"[0, 1, 2, 3, 4, 6, 5]",15667,85
"[0, 1, 2, 3, 4, 6, 5]",15410,78
"[0, 1, 2, 3, 4, 6, 5]",15766,95
"[0, 1, 2, 3, 4, 6, 5]",16247,99
"[0, 1, 2, 3, 4, 6, 5]",15507,101
"[0, 1, 2, 3, 4, 6, 5]",15456,89
"[0, 1, 2, 3, 5, 4, 6]",16826,107
"[0, 1, 2, 3, 5, 4, 6]",15838,84
"[0, 1, 2, 3, 5, 4, 6]",17154,97
"[0, 1, 2, 3, 5, 4, 6]",16848,100
"[0, 1, 2, 3, 5, 4, 6]",16283,92
"[0, 1, 2, 3, 5, 4, 6]",16627,101
"[0, 1, 2, 3, 5, 4, 6]",16301,90
"[0, 1, 2, 3, 5, 4, 6]",16490,116
"[0, 1, 2, 3, 5, 4, 6]",15517,88
"[0, 1, 2, 3, 5, 4, 6]",16730,101
"[0, 1, 2, 3, 5, 4, 6]",15894,99
"[0, 1, 2, 3, 5, 4, 6]",15511,83
"[0, 1, 2, 3, 5, 4, 6]",16425,94
"[0, 1, 2, 3, 5, 4, 6]",15874,85
"[0, 1, 2, 3, 5, 4, 6]",17353,92
"[0, 1, 2, 3, 5, 4, 6]",16005,92
"[0, 1, 2, 3, 5, 4, 6]",16492,89
"[0, 1, 2, 3, 5, 4, 6]",16788,107
"[0, 1, 2, 3, 5, 4, 6]",15184,84
"[0, 1, 2, 3, 5, 4, 6]",15690,88
"[0, 1, 2, 3, 5, 4, 6]",15421,73
"[0, 1, 2, 3, 5, 4, 6]",15783,97
"[0, 1, 2, 3, 5, 4, 6]",16041,93
"[0, 1, 2, 3, 5, 4, 6]",15570,98
"[0, 1, 2, 3, 5, 4, 6]",15742,90
"[0, 1, 2, 3, 5, 6, 4]",17583,93
"[0, 1, 2, 3, 5, 6, 4]",16330,103
"[0, 1, 2, 3, 5, 6, 4]",17208,102
"[0, 1, 2, 3, 5, 6, 4]",16342,86
"[0, 1, 2, 3, 5, 6, 4]",16362,96
"[0, 1, 2, 3, 5, 6, 4]",16744,92
"[0, 1, 2, 3, 5, 6, 4]",17494,94
"[0, 1, 2, 3, 5, 6, 4]",17260,118
"[0, 1, 2, 3, 5, 6, 4]",15632,86
"[0, 1, 2, 3, 5, 6, 4]",16766,102
"[0, 1, 2, 3, 5, 6, 4]",16006,95
"[0, 1, 2, 3, 5, 6, 4]",15683,86
"[0, 1, 2, 3, 5, 6, 4]",17531,107
"[0, 1, 2, 3, 5, 6, 4]",16222,88
"[0, 1, 2, 3, 5, 6, 4]",17872,101
"[0, 1, 2, 3, 5, 6, 4]",17207,92
"[0, 1, 2, 3, 5, 6, 4]",17633,102
"[0, 1, 2, 3, 5, 6, 4]",16925,89
"[0, 1, 2, 3, 5, 6, 4]",16129,90
"[0, 1, 2, 3, 5, 6, 4]",15962,83
"[0, 1, 2, 3, 5, 6, 4]",15775,76
"[0, 1, 2, 3, 5, 6, 4]",16134,101
"[0, 1, 2, 3, 5, 6, 4]",16948,102
"[0, 1, 2, 3, 5, 6, 4]",15579,90
"[0, 1, 2, 3, 5, 6, 4]",16240,93
"[0, 1, 2, 3, 6, 4, 5]",16807,105
"[0, 1, 2, 3, 6, 4, 5]",16802,92
"[0, 1, 2, 3, 6, 4, 5]",16998,93
"[0, 1, 2, 3, 6, 4, 5]",15855,89
"[0, 1, 2, 3, 6, 4, 5]",16180,91
"[0, 1, 2, 3, 6, 4, 5]",16988,84
"[0, 1, 2, 3, 6, 4, 5]",17160,90
"[0, 1, 2, 3, 6, 4, 5]",17258,115
"[0, 1, 2, 3, 6, 4, 5]",15559,91
"[0, 1, 2, 3, 6, 4, 5]",17399,104
"[0, 1, 2, 3, 6, 4, 5]",16347,99
"[0, 1, 2, 3, 6, 4, 5]",15742,85
"[0, 1, 2, 3, 6, 4, 5]",16886,106
"[0, 1, 2, 3, 6, 4, 5]",15913,89
"[0, 1, 2, 3, 6, 4, 5]",19204,113
"[0, 1, 2, 3, 6, 4, 5]",16831,91
"[0, 1, 2, 3, 6, 4, 5]",17134,92
"[0, 1, 2, 3, 6, 4, 5]",17106,92
"[0, 1, 2, 3, 6, 4, 5]",15966,94
"[0, 1, 2, 3, 6, 4, 5]",16072,87
"[0, 1, 2, 3, 6, 4, 5]",15822,77
"[0, 1, 2, 3, 6, 4, 5]",16527,90
"[0, 1, 2, 3, 6, 4, 5]",16728,96
"[0, 1, 2, 3, 6, 4, 5]",15466,96
"[0, 1, 2, 3, 6, 4, 5]",15816,90
"[0, 1, 2, 3, 6, 5, 4]",18167,116
"[0, 1, 2, 3, 6, 5, 4]",16236,105
"[0, 1, 2, 3, 6, 5, 4]",16630,87
"[0, 1, 2, 3, 6, 5, 4]",15919,86
"[0, 1, 2, 3, 6, 5, 4]",17261,102
"[0, 1, 2, 3, 6, 5, 4]",17125,108
"[0, 1, 2, 3, 6, 5, 4]",18509,106
"[0, 1, 2, 3, 6, 5, 4]",16171,100
"[0, 1, 2, 3, 6, 5, 4]",15553,85
"[0, 1, 2, 3, 6, 5, 4]",16741,105
"[0, 1, 2, 3, 6, 5, 4]",16428,94
"[0, 1, 2, 3, 6, 5, 4]",15439,87
