"[0, 1, 2, 3, 4, 5, 6]",94,14
"[0, 1, 2, 3, 4, 5, 6]",82,9
"[0, 1, 2, 3, 4, 5, 6]",163,27
"[0, 1, 2, 3, 4, 5, 6]",89,21
"[0, 1, 2, 3, 4, 5, 6]",97,18
"[0, 1, 2, 3, 4, 5, 6]",76,12
"[0, 1, 2, 3, 4, 5, 6]",103,14
"[0, 1, 2, 3, 4, 5, 6]",84,28
"[0, 1, 2, 3, 4, 5, 6]",122,23
"[0, 1, 2, 3, 4, 5, 6]",116,39
"[0, 1, 2, 3, 4, 5, 6]",79,15
"[0, 1, 2, 3, 4, 5, 6]",81,22
"[0, 1, 2, 3, 4, 5, 6]",64,10
"[0, 1, 2, 3, 4, 5, 6]",93,15
"[0, 1, 2, 3, 4, 5, 6]",108,15
"[0, 1, 2, 3, 4, 5, 6]",95,15
"[0, 1, 2, 3, 4, 5, 6]",112,18
"[0, 1, 2, 3, 4, 5, 6]",104,19
"[0, 1, 2, 3, 4, 5, 6]",81,16
"[0, 1, 2, 3, 4, 5, 6]",60,11
"[0, 1, 2, 3, 4, 5, 6]",108,15
"[0, 1, 2, 3, 4, 5, 6]",91,20
"[0, 1, 2, 3, 4, 5, 6]",103,16
"[0, 1, 2, 3, 4, 5, 6]",76,13
"[0, 1, 2, 3, 4, 5, 6]",76,9
"[0, 1, 2, 3, 4, 5, 6]",68,14
"[0, 1, 2, 3, 4, 5, 6]",76,12
"[0, 1, 2, 3, 4, 5, 6]",113,17
"[0, 1, 2, 3, 4, 5, 6]",78,11
"[0, 1, 2, 3, 4, 5, 6]",69,10
"[0, 1, 2, 3, 4, 5, 6]",136,33
"[0, 1, 2, 3, 4, 5, 6]",100,16
"[0, 1, 2, 3, 4, 5, 6]",116,24
"[0, 1, 2, 3, 4, 5, 6]",75,15
"[0, 1, 2, 3, 4, 5, 6]",80,13
"[0, 1, 2, 3, 4, 5, 6]",89,14
"[0, 1, 2, 3, 4, 5, 6]",78,12
"[0, 1, 2, 3, 4, 5, 6]",39,10
"[0, 1, 2, 3, 4, 5, 6]",79,11
"[0, 1, 2, 3, 4, 5, 6]",114,25
"[0, 1, 2, 3, 4, 5, 6]",124,19
"[0, 1, 2, 3, 4, 5, 6]",100,13
"[0, 1, 2, 3, 4, 5, 6]",104,25
"[0, 1, 2, 3, 4, 5, 6]",101,33
"[0, 1, 2, 3, 4, 5, 6]",89,14
"[0, 1, 2, 3, 4, 5, 6]",113,20
"[0, 1, 2, 3, 4, 5, 6]",82,13
"[0, 1, 2, 3, 4, 5, 6]",143,36
"[0, 1, 2, 3, 4, 5, 6]",149,71
"[0, 1, 2, 3, 4, 5, 6]",124,23
"[0, 1, 2, 3, 4, 5, 6]",87,11
"[0, 1, 2, 3, 4, 5, 6]",107,20
"[0, 1, 2, 3, 4, 5, 6]",68,13
"[0, 1, 2, 3, 4, 5, 6]",123,25
"[0, 1, 2, 3, 4, 5, 6]",63,13
"[0, 1, 2, 3, 4, 5, 6]",56,12
"[0, 1, 2, 3, 4, 5, 6]",72,13
"[0, 1, 2, 3, 4, 5, 6]",70,10
"[0, 1, 2, 3, 4, 5, 6]",78,12
"[0, 1, 2, 3, 4, 5, 6]",96,24
"[0, 1, 2, 3, 4, 5, 6]",63,10
"[0, 1, 2, 3, 4, 5, 6]",80,14
"[0, 1, 2, 3, 4, 5, 6]",62,11
"[0, 1, 2, 3, 4, 5, 6]",83,15
"[0, 1, 2, 3, 4, 5, 6]",117,21
"[0, 1, 2, 3, 4, 5, 6]",70,14
"[0, 1, 2, 3, 4, 5, 6]",80,11
"[0, 1, 2, 3, 4, 5, 6]",89,25
"[0, 1, 2, 3, 4, 5, 6]",71,14
"[0, 1, 2, 3, 4, 5, 6]",74,14
"[0, 1, 2, 3, 4, 5, 6]",101,21
"[0, 1, 2, 3, 4, 5, 6]",61,11
"[0, 1, 2, 3, 4, 5, 6]",76,10
"[0, 1, 2, 3, 4, 5, 6]",79,20
"[0, 1, 2, 3, 4, 5, 6]",111,15
"[0, 1, 2, 3, 4, 5, 6]",62,14
"[0, 1, 2, 3, 4, 5, 6]",114,30
"[0, 1, 2, 3, 4, 5, 6]",83,13
"[0, 1, 2, 3, 4, 5, 6]",91,13
"[0, 1, 2, 3, 4, 5, 6]",97,16
"[0, 1, 2, 3, 4, 5, 6]",108,36
"[0, 1, 2, 3, 4, 5, 6]",108,26
"[0, 1, 2, 3, 4, 5, 6]",73,13
"[0, 1, 2, 3, 4, 5, 6]",89,12
"[0, 1, 2, 3, 4, 5, 6]",109,26
"[0, 1, 2, 3, 4, 5, 6]",83,16
"[0, 1, 2, 3, 4, 5, 6]",104,28
"[0, 1, 2, 3, 4, 5, 6]",61,18
"[0, 1, 2, 3, 4, 5, 6]",94,21
"[0, 1, 2, 3, 4, 5, 6]",55,7
"[0, 1, 2, 3, 4, 5, 6]",74,9
"[0, 1, 2, 3, 4, 5, 6]",76,13
"[0, 1, 2, 3, 4, 5, 6]",84,14
"[0, 1, 2, 3, 4, 5, 6]",81,12
"[0, 1, 2, 3, 4, 5, 6]",98,13
"[0, 1, 2, 3, 4, 5, 6]",93,15
"[0, 1, 2, 3, 4, 5, 6]",79,10
"[0, 1, 2, 3, 4, 5, 6]",58,10
"[0, 1, 2, 3, 4, 5, 6]",89,50
"[0, 1, 2, 3, 4, 5, 6]",111,26
"[0, 1, 2, 3, 4, 6, 5]",107,18
"[0, 1, 2, 3, 4, 6, 5]",82,9
"[0, 1, 2, 3, 4, 6, 5]",107,15
"[0, 1, 2, 3, 4, 6, 5]",78,12
"[0, 1, 2, 3, 4, 6, 5]",89,15
"[0, 1, 2, 3, 4, 6, 5]",76,12
"[0, 1, 2, 3, 4, 6, 5]",101,13
"[0, 1, 2, 3, 4, 6, 5]",84,24
"[0, 1, 2, 3, 4, 6, 5]",117,22
