map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
empty-48-48.map,2304,0,250,DCMAPF,True,9559,87,73.5
empty-48-48.map,2304,0,250,DCMAPF,True,8671,94,73.8
empty-48-48.map,2304,0,300,DCMAPF,True,11154,74,106.4
empty-48-48.map,2304,0,300,DCMAPF,True,11124,82,113.9
empty-48-48.map,2304,0,300,DCMAPF,True,10597,78,115.9
empty-48-48.map,2304,0,300,DCMAPF,True,10604,79,116.4
empty-48-48.map,2304,0,300,DCMAPF,True,11502,80,116.6
empty-48-48.map,2304,0,300,DCMAPF,True,11001,78,117.4
empty-48-48.map,2304,0,300,DCMAPF,True,11105,78,118.5
empty-48-48.map,2304,0,300,DCMAPF,True,11382,85,118.3
empty-48-48.map,2304,0,300,DCMAPF,True,11516,83,119.4
empty-48-48.map,2304,0,300,DCMAPF,True,11089,86,119.4
empty-48-48.map,2304,0,300,DCMAPF,True,10864,83,120.7
empty-48-48.map,2304,0,300,DCMAPF,True,11601,89,120.5
empty-48-48.map,2304,0,300,DCMAPF,True,11591,88,122.3
empty-48-48.map,2304,0,300,DCMAPF,True,10934,91,122.1
empty-48-48.map,2304,0,300,DCMAPF,True,11596,91,122.6
empty-48-48.map,2304,0,300,DCMAPF,True,10702,95,123.6
empty-48-48.map,2304,0,300,DCMAPF,True,10949,90,124.1
empty-48-48.map,2304,0,300,DCMAPF,True,11581,87,124.6
empty-48-48.map,2304,0,300,DCMAPF,True,11765,94,124.8
empty-48-48.map,2304,0,300,DCMAPF,True,11104,92,125.3
empty-48-48.map,2304,0,300,DCMAPF,True,11093,93,125.5
empty-48-48.map,2304,0,300,DCMAPF,True,11606,96,126.5
empty-48-48.map,2304,0,300,DCMAPF,True,11592,104,126.9
empty-48-48.map,2304,0,300,DCMAPF,True,11383,98,127.2
empty-48-48.map,2304,0,300,DCMAPF,True,12563,130,137.4
empty-48-48.map,2304,0,350,DCMAPF,True,13295,83,143.3
empty-48-48.map,2304,0,350,DCMAPF,True,14015,86,145.0
empty-48-48.map,2304,0,350,DCMAPF,True,13052,87,148.1
empty-48-48.map,2304,0,350,DCMAPF,True,14129,88,148.5
empty-48-48.map,2304,0,350,DCMAPF,True,13607,86,149.0
empty-48-48.map,2304,0,350,DCMAPF,True,13689,89,149.7
empty-48-48.map,2304,0,350,DCMAPF,True,13087,88,149.8
empty-48-48.map,2304,0,350,DCMAPF,True,13820,92,151.2
empty-48-48.map,2304,0,350,DCMAPF,True,14255,91,151.7
empty-48-48.map,2304,0,350,DCMAPF,True,14571,90,154.6
empty-48-48.map,2304,0,350,DCMAPF,True,14306,91,155.7
empty-48-48.map,2304,0,350,DCMAPF,True,13206,97,156.1
empty-48-48.map,2304,0,350,DCMAPF,True,13917,95,156.5
empty-48-48.map,2304,0,350,DCMAPF,True,13777,96,156.6
empty-48-48.map,2304,0,350,DCMAPF,True,13494,95,157.3
empty-48-48.map,2304,0,350,DCMAPF,True,14305,99,158.1
empty-48-48.map,2304,0,350,DCMAPF,True,13535,103,158.9
empty-48-48.map,2304,0,350,DCMAPF,True,13710,97,159.3
empty-48-48.map,2304,0,350,DCMAPF,True,15081,99,161.0
empty-48-48.map,2304,0,350,DCMAPF,True,14547,100,162.1
empty-48-48.map,2304,0,350,DCMAPF,True,13824,107,162.2
empty-48-48.map,2304,0,350,DCMAPF,True,14506,107,163.2
empty-48-48.map,2304,0,350,DCMAPF,True,14463,109,164.9
empty-48-48.map,2304,0,350,DCMAPF,True,14371,112,165.4
empty-48-48.map,2304,0,350,DCMAPF,True,14959,135,174.6
empty-48-48.map,2304,0,400,DCMAPF,True,16215,91,201.6
empty-48-48.map,2304,0,400,DCMAPF,True,17042,96,213.1
empty-48-48.map,2304,0,400,DCMAPF,True,15751,98,213.7
empty-48-48.map,2304,0,400,DCMAPF,True,18548,97,221.4
empty-48-48.map,2304,0,400,DCMAPF,True,16779,101,221.6
empty-48-48.map,2304,0,400,DCMAPF,True,16936,99,222.5
empty-48-48.map,2304,0,400,DCMAPF,True,17323,102,223.4
empty-48-48.map,2304,0,400,DCMAPF,True,17612,102,223.8
empty-48-48.map,2304,0,400,DCMAPF,True,16049,108,226.7
empty-48-48.map,2304,0,400,DCMAPF,True,17366,108,228.6
empty-48-48.map,2304,0,400,DCMAPF,True,16446,112,231.4
empty-48-48.map,2304,0,400,DCMAPF,True,17541,108,231.7
empty-48-48.map,2304,0,400,DCMAPF,True,16472,112,232.4
empty-48-48.map,2304,0,400,DCMAPF,True,16652,115,234.8
empty-48-48.map,2304,0,400,DCMAPF,True,17028,115,237.2
empty-48-48.map,2304,0,400,DCMAPF,True,16417,119,237.2
empty-48-48.map,2304,0,400,DCMAPF,True,18633,111,240.1
empty-48-48.map,2304,0,400,DCMAPF,True,19377,113,243.0
empty-48-48.map,2304,0,400,DCMAPF,True,18289,124,246.7
empty-48-48.map,2304,0,400,DCMAPF,True,17175,129,246.7
empty-48-48.map,2304,0,400,DCMAPF,True,18441,119,246.7
empty-48-48.map,2304,0,400,DCMAPF,True,17345,130,248.3
empty-48-48.map,2304,0,400,DCMAPF,True,17685,124,249.4
empty-48-48.map,2304,0,400,DCMAPF,True,16991,141,251.5
empty-48-48.map,2304,0,400,DCMAPF,True,17980,160,264.9
empty-48-48.map,2304,0,450,DCMAPF,True,19301,105,294.2
empty-48-48.map,2304,0,450,DCMAPF,True,20704,104,294.2
empty-48-48.map,2304,0,450,DCMAPF,True,20423,109,306.6
empty-48-48.map,2304,0,450,DCMAPF,True,20713,111,311.1
empty-48-48.map,2304,0,450,DCMAPF,True,20321,110,315.2
empty-48-48.map,2304,0,450,DCMAPF,True,20927,116,323.3
empty-48-48.map,2304,0,450,DCMAPF,True,21478,113,323.8
empty-48-48.map,2304,0,450,DCMAPF,True,20202,116,325.1
empty-48-48.map,2304,0,450,DCMAPF,True,22049,113,330.2
empty-48-48.map,2304,0,450,DCMAPF,True,21613,118,331.0
empty-48-48.map,2304,0,450,DCMAPF,True,20062,122,336.2
empty-48-48.map,2304,0,450,DCMAPF,True,21124,121,338.5
empty-48-48.map,2304,0,450,DCMAPF,True,21355,125,343.9
empty-48-48.map,2304,0,450,DCMAPF,True,22311,129,348.5
empty-48-48.map,2304,0,450,DCMAPF,True,22579,129,349.2
empty-48-48.map,2304,0,450,DCMAPF,True,21715,134,356.9
empty-48-48.map,2304,0,450,DCMAPF,True,20812,142,359.4
empty-48-48.map,2304,0,450,DCMAPF,True,21600,135,360.6
empty-48-48.map,2304,0,450,DCMAPF,True,21237,148,365.0
empty-48-48.map,2304,0,450,DCMAPF,True,22161,142,365.2
empty-48-48.map,2304,0,450,DCMAPF,True,23521,136,366.7
empty-48-48.map,2304,0,450,DCMAPF,True,20448,151,366.8
empty-48-48.map,2304,0,450,DCMAPF,True,23437,140,370.0
empty-48-48.map,2304,0,450,DCMAPF,True,23898,161,383.0
empty-48-48.map,2304,0,450,DCMAPF,False,23856,600,615.8
random-64-64-20.map,4096,826,50,DCMAPF,True,2380,81,3.9
random-64-64-20.map,4096,826,50,DCMAPF,True,2210,85,3.9
random-64-64-20.map,4096,826,50,DCMAPF,True,2438,82,4.1
random-64-64-20.map,4096,826,50,DCMAPF,True,2538,78,4.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2282,92,4.5
random-64-64-20.map,4096,826,50,DCMAPF,True,2225,95,4.6
random-64-64-20.map,4096,826,50,DCMAPF,True,2358,92,4.5
random-64-64-20.map,4096,826,50,DCMAPF,True,2261,94,4.5
random-64-64-20.map,4096,826,50,DCMAPF,True,2478,89,4.6
random-64-64-20.map,4096,826,50,DCMAPF,True,2326,81,4.7
random-64-64-20.map,4096,826,50,DCMAPF,True,2374,96,4.5
random-64-64-20.map,4096,826,50,DCMAPF,True,2583,100,4.7
random-64-64-20.map,4096,826,50,DCMAPF,True,2380,91,4.7
random-64-64-20.map,4096,826,50,DCMAPF,True,2320,83,4.8
random-64-64-20.map,4096,826,50,DCMAPF,True,2229,84,4.8
random-64-64-20.map,4096,826,50,DCMAPF,True,2166,96,5.0
random-64-64-20.map,4096,826,50,DCMAPF,True,2579,97,5.0
random-64-64-20.map,4096,826,50,DCMAPF,True,2139,93,4.9
random-64-64-20.map,4096,826,50,DCMAPF,True,2400,85,5.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2462,81,5.0
random-64-64-20.map,4096,826,50,DCMAPF,True,2523,80,5.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2337,92,5.1
random-64-64-20.map,4096,826,50,DCMAPF,True,2353,114,5.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2504,88,5.2
random-64-64-20.map,4096,826,50,DCMAPF,True,2169,100,5.3
random-64-64-20.map,4096,826,100,DCMAPF,True,4928,82,13.6
random-64-64-20.map,4096,826,100,DCMAPF,True,4411,100,15.0
random-64-64-20.map,4096,826,100,DCMAPF,True,4727,97,14.9
random-64-64-20.map,4096,826,100,DCMAPF,True,4676,88,15.7
random-64-64-20.map,4096,826,100,DCMAPF,True,4828,91,16.0
random-64-64-20.map,4096,826,100,DCMAPF,True,4871,97,15.9
random-64-64-20.map,4096,826,100,DCMAPF,True,4687,101,16.0
random-64-64-20.map,4096,826,100,DCMAPF,True,5075,106,16.4
random-64-64-20.map,4096,826,100,DCMAPF,True,4832,94,16.7
random-64-64-20.map,4096,826,100,DCMAPF,True,4728,95,16.6
random-64-64-20.map,4096,826,100,DCMAPF,True,4849,103,16.5
random-64-64-20.map,4096,826,100,DCMAPF,True,4617,101,16.7
random-64-64-20.map,4096,826,100,DCMAPF,True,4944,104,16.7
random-64-64-20.map,4096,826,100,DCMAPF,True,4586,95,16.6
random-64-64-20.map,4096,826,100,DCMAPF,True,4879,100,16.7
random-64-64-20.map,4096,826,100,DCMAPF,True,5267,99,16.8
random-64-64-20.map,4096,826,100,DCMAPF,True,5047,89,16.8
random-64-64-20.map,4096,826,100,DCMAPF,True,5078,102,17.3
random-64-64-20.map,4096,826,100,DCMAPF,True,4890,99,17.5
random-64-64-20.map,4096,826,100,DCMAPF,True,4737,86,17.6
random-64-64-20.map,4096,826,100,DCMAPF,True,5027,91,17.5
random-64-64-20.map,4096,826,100,DCMAPF,True,4772,96,17.5
random-64-64-20.map,4096,826,100,DCMAPF,True,4969,116,18.1
random-64-64-20.map,4096,826,100,DCMAPF,True,5138,100,18.1
